alpha	eFWER
0.01	0.017
0.02	0.0296
0.03	0.041
0.04	0.0506
0.05	0.0636
0.06	0.0736
0.07	0.0824
0.08	0.0936
0.09	0.1058
0.1	0.1152
0.11	0.1264
0.12	0.1364
0.13	0.1448
0.14	0.155
0.15	0.1626
0.16	0.1742
0.17	0.1826
0.18	0.1924
0.19	0.2006
0.2	0.2094
0.21	0.2168
0.22	0.2236
0.23	0.23
0.24	0.238
0.25	0.2426
0.26	0.25
0.27	0.2568
0.28	0.2644
0.29	0.2724
0.3	0.2816
0.31	0.292
0.32	0.2996
0.33	0.3094
0.34	0.317
0.35	0.3246
0.36	0.331
0.37	0.3376
0.38	0.3432
0.39	0.3482
0.4	0.3534
0.41	0.3598
0.42	0.366
0.43	0.3728
0.44	0.379
0.45	0.3856
0.46	0.3908
0.47	0.3976
0.48	0.402
0.49	0.4072
0.5	0.4122
0.51	0.4176
0.52	0.4236
0.53	0.4302
0.54	0.436
0.55	0.4404
0.56	0.4466
0.57	0.4512
0.58	0.4568
0.59	0.462
0.6	0.4668
0.61	0.4706
0.62	0.477
0.63	0.4814
0.64	0.4874
0.65	0.4932
0.66	0.4976
0.67	0.5024
0.68	0.508
0.69	0.512
0.7	0.5172
0.71	0.522
0.72	0.5266
0.73	0.5314
0.74	0.5356
0.75	0.5398
0.76	0.5438
0.77	0.5468
0.78	0.551
0.79	0.5558
0.8	0.5598
0.81	0.5652
0.82	0.5698
0.83	0.5752
0.84	0.5794
0.85	0.5832
0.86	0.588
0.87	0.5928
0.88	0.5956
0.89	0.599
0.9	0.603
0.91	0.6068
0.92	0.6108
0.93	0.6142
0.94	0.6194
0.95	0.6228
0.96	0.6268
0.97	0.632
0.98	0.6372
0.99	0.6398
0.01	0.015
0.02	0.0262
0.03	0.038
0.04	0.0468
0.05	0.0586
0.06	0.0662
0.07	0.0778
0.08	0.0858
0.09	0.0934
0.1	0.1062
0.11	0.1168
0.12	0.125
0.13	0.1352
0.14	0.1424
0.15	0.1476
0.16	0.158
0.17	0.1676
0.18	0.1786
0.19	0.1858
0.2	0.1944
0.21	0.2042
0.22	0.2148
0.23	0.2256
0.24	0.2342
0.25	0.2424
0.26	0.2484
0.27	0.2556
0.28	0.2632
0.29	0.2718
0.3	0.2772
0.31	0.2846
0.32	0.2918
0.33	0.2968
0.34	0.3038
0.35	0.3124
0.36	0.3174
0.37	0.3236
0.38	0.3294
0.39	0.3358
0.4	0.3422
0.41	0.3498
0.42	0.357
0.43	0.3624
0.44	0.3682
0.45	0.3724
0.46	0.3796
0.47	0.3858
0.48	0.3936
0.49	0.399
0.5	0.4056
0.51	0.411
0.52	0.4166
0.53	0.422
0.54	0.4256
0.55	0.4306
0.56	0.4356
0.57	0.4414
0.58	0.4472
0.59	0.4516
0.6	0.4556
0.61	0.4598
0.62	0.464
0.63	0.4676
0.64	0.4716
0.65	0.477
0.66	0.481
0.67	0.4868
0.68	0.4914
0.69	0.497
0.7	0.5018
0.71	0.506
0.72	0.5096
0.73	0.5154
0.74	0.52
0.75	0.5236
0.76	0.5288
0.77	0.5328
0.78	0.538
0.79	0.5414
0.8	0.5446
0.81	0.5478
0.82	0.5516
0.83	0.557
0.84	0.5624
0.85	0.5664
0.86	0.5714
0.87	0.5748
0.88	0.5808
0.89	0.5866
0.9	0.594
0.91	0.5976
0.92	0.6018
0.93	0.6054
0.94	0.6092
0.95	0.6126
0.96	0.6158
0.97	0.6178
0.98	0.6226
0.99	0.6258
